Size (bytes),Transfer Time (s)
1024,0.0025
2048,0.0050
3072,0.0060
4096,0.0085
5120,0.0105
6144,0.0125
7168,0.0150
8192,0.0165
9216,0.0185
10240,0.0210
11264,0.0225
12288,0.0250
13312,0.0270
14336,0.0305
15360,0.0315
16384,0.0360
17408,0.0365
18432,0.0385
19456,0.0405
20480,0.0435
21504,0.0460
22528,0.0470
23552,0.0475
24576,0.0500
25600,0.0535
26624,0.0540
55296,0.1105
57344,0.1150
59392,0.1215
61440,0.1260
61440,0.1280
81920,0.1685
83968,0.1705
86016,0.1725
88064,0.1760
90112,0.1815
92160,0.1865
98304,0.2010
100352,0.2010
102400,0.2040
104448,0.2100
106496,0.2155
108544,0.2220
110592,0.2215
112640,0.2260
114688,0.2315
116736,0.2360
118784,0.2400
120832,0.2455
122880,0.2500
124928,0.2490
126976,0.2565
193536,0.3940
196608,0.3965
199680,0.4080
196608,0.4030
202752,0.4115
205824,0.4165
208896,0.4210
211968,0.4320
215040,0.4355
218112,0.4380
221184,0.4460
245760,0.4930
224256,0.4485
248832,0.5065
251904,0.5045
254976,0.5165
258048,0.5190
261120,0.5285
264192,0.5315
267264,0.5400
270336,0.5445
273408,0.5570
276480,0.5620
279552,0.5780
