Size (bytes),Transfer Time (s)
1024,0.0156
2048,0.0153
3072,0.0100
4096,0.0155
5120,0.0264
6144,0.0157
7168,0.0255
8192,0.0317
9216,0.0273
10240,0.0318
11264,0.0295
12288,0.0315
13312,0.0297
14336,0.0392
15360,0.0313
16384,0.0416
17408,0.0475
18432,0.0415
19456,0.0477
20480,0.0425
21504,0.0475
22528,0.0595
23552,0.0635
24576,0.0625
25600,0.0632
26624,0.0625
55296,0.1201
57344,0.1273
59392,0.1275
61440,0.1268
61440,0.1395
81920,0.1683
83968,0.1754
86016,0.1756
88064,0.1918
90112,0.1915
92160,0.1911
98304,0.2073
100352,0.2077
102400,0.2073
104448,0.2219
106496,0.2216
108544,0.2236
110592,0.2233
112640,0.2394
114688,0.2394
116736,0.2396
118784,0.2555
120832,0.2551
122880,0.2552
124928,0.2553
126976,0.2643
193536,0.3925
196608,0.3965
199680,0.4156
196608,0.4085
202752,0.4140
205824,0.4242
208896,0.4316
211968,0.4402
215040,0.4477
218112,0.4410
221184,0.4469
245760,0.5042
224256,0.4634
248832,0.5114
251904,0.5076
254976,0.5210
258048,0.5272
261120,0.5273
264192,0.5422
267264,0.5531
270336,0.5515
273408,0.5595
276480,0.5586
279552,0.5727
